Animal,Treatment,Time,Glucose
MI5,MI,5,0.434
MI5,MI,10,0.375
MI5,MI,15,0.434
MI5,MI,20,0.395
MI5,MI,25,0.395
MI5,MI,30,0.296
MI6,MI,0,0.74
MI6,MI,5,0.64
MI6,MI,10,0.56
MI6,MI,15,0.6
MI6,MI,20,0.52
MI6,MI,25,0.54
MI6,MI,30,0.4
MI7,MI,0,0.51
MI7,MI,5,0.412
MI7,MI,10,0.49
MI7,MI,15,0.51
MI7,MI,20,0.765
MI7,MI,25,0.686
MI7,MI,30,0.686
