Filename,ID,Series name,MeanF,Max of F,Min of F,FRange,StdDevF,Duration(T),Sum of Abrupt(>0.025),Sum of Abrupt(>0.05),Sum of Abrupt(>0.1),Cofm,CofFV,PosMax,PosMin
151103-001_CG1k,#N/A,k,0.265182418,0.29579476,0.199673736,0.030612342,0.030619607,6.222604196,0,0,0,0.998911041,11.54662042,0.775193258,0.063543092
151104-001_CG2_1,#N/A,1,0.355207044,0.463523852,0.332819266,0.108316808,0.0248909,7.22822867,2,0,0,0.662839348,7.007434098,0.011044177,0.982931727
151104-001_CG2_2.,#N/A,2,0.326722677,0.333577471,0.306132458,0.006854794,0.004731334,6.891522601,0,0,0,0.202228947,1.448119105,0.355012225,1
151104-001_CG2_3.,#N/A,3,0.337585887,0.349226137,0.30128174,0.01164025,0.007950171,5.621560275,0,0,0,0.44802701,2.355006851,0.300303337,0
151104-001_CG2_B2.,#N/A,B2.,0.340342258,0.349646702,0.329880152,0.009304445,0.005068842,8.23628045,0,0,0,0.277377826,1.489336558,0,1.924198251
151104-001_CG2_B3,#N/A,B3,0.343240822,0.358478565,0.31936603,0.015237743,0.012280491,7.406091148,0,0,0,0.535169128,3.577805997,1.499019608,0.107843137
151104-001_CG2_B4.,#N/A,B4.,0.371512282,0.411890306,0.326095068,0.040378024,0.030507952,7.557200867,0,0,0,0.657199627,8.211828673,0.309128529,0.063948642
151104-001_CG2_B5.,#N/A,B5.,0.39008454,0.451002841,0.322309984,0.060918301,0.042329258,6.507094212,1,0,0,0.931793616,10.85130374,3.794573643,0.063953488
151105-001_CG2_b1.,#N/A,b1.,0.347323359,0.424086688,0.327356763,0.076763329,0.010404997,8.530390883,1,0,0,0.804404347,2.995766492,0,0.978510745
151105-001_CG2_b2.,#N/A,b2.,0.324189544,0.367730993,0.270580503,0.043541448,0.029829919,7.91740646,0,0,0,0.706794565,9.201382128,2.904250471,1.364662357
151105-001_CG2_b3.,#N/A,b3.,0.36990165,0.389600367,0.324833374,0.019698717,0.019094142,7.325910022,0,0,0,0.416474887,5.161951146,0.405123953,0.054073503
151105-001_CG2_b4.,#N/A,b4.,0.380085377,0.418619344,0.312216427,0.038533968,0.030447429,6.810442784,0,0,0,0.774573001,8.010681438,0.362754607,0.042677013
151105-003_CG3_1.,#N/A,1,0.357292124,0.403479008,0.33829145,0.046186885,0.007626417,7.673262657,1,0,0,0.607085107,2.134504709,0,0.164462577
151105-003_CG3_2.,#N/A,2,0.352895857,0.400114489,0.285811979,0.047218632,0.025005428,6.497590595,0,0,0,0.904027212,7.085781218,1,0.010975334
151105-003_CG3_3.,#N/A,3,0.383142643,0.427871772,0.256701862,0.044729129,0.054453481,7.043709126,0,0,0,0.771733571,14.21232594,0.717578395,0
151106-002_CG1_C1,#N/A,C1,0.351622056,0.3820622,0.296660488,0.030440145,0.016898229,7.101237536,1,0,0,1.042728567,4.805793237,0.690563561,0.010226343
151106-002_CG1_C2,#N/A,C2,0.370654839,0.394884369,0.265239634,0.024229531,0.0260748,5.834486736,1,0,0,0.985533747,7.034792956,0.716100315,0
151106-002_CG1_C3,#N/A,C3,0.375769053,0.410703472,0.264142807,0.034934419,0.03537623,5.132472948,0,0,0,1.144509906,9.414354274,1.94753335,0
151106-002_CG2_A1,#N/A,A1,0.348114858,0.356435484,0.330360417,0.008320626,0.009221862,8.101154606,0,0,0,0.204178177,2.649086151,0.32679448,0.864716087
151106-002_CG2_A2,#N/A,A2,0.333269285,0.362245483,0.309293375,0.028976198,0.017885327,6.381554576,0,0,0,0.468726833,5.366629408,0.800463856,0.082372939
151106-002_CG2_A3,#N/A,A3,0.362473654,0.451512657,0.337825721,0.089039002,0.013855314,7.219674914,1,1,0,0.604618265,3.822433255,0,0.979175789
151106-002_CG2_A4,#N/A,A4,0.32048301,0.359692701,0.246491784,0.039209691,0.023648896,6.005596373,0,0,0,0.716319701,7.379141892,0.574501815,1
151107-000_CG2_A2,#N/A,A2,0.309207663,0.423077531,0.267690629,0.113869868,0.022218259,7.317583336,2,1,0,0.954257432,7.185545938,0,0.161871182
151107-000_CG2_A4,#N/A,A4,0.375420021,0.425631886,0.320849149,0.050211865,0.038725465,8.603380143,0,0,0,0.693335308,10.31523695,0.432547372,0.970243694
151107-000_CG2_A4.,#N/A,A4.,0.376098236,0.426452216,0.320111961,0.050353981,0.038985524,8.598349007,0,0,0,0.690181428,10.3657822,1.098831031,0.970244421
151107-000_CG2_A5,#N/A,A5,0.382501533,0.440224126,0.322320516,0.057722593,0.040929372,8.288290469,0,0,0,0.802905024,10.7004466,3.08751334,0.011739594
151107-000_CG2_A6,#N/A,A6,0.365237474,0.41915525,0.310987868,0.053917776,0.034290933,7.823768166,0,0,0,0.836772364,9.388667661,0.33882103,0.046733935
151107-000_CG2_A7,#N/A,A7,0.397696329,0.464578818,0.317593485,0.066882489,0.048572872,7.730169643,1,0,0,1.053169216,12.21355808,0.199116392,0.014515933
151108-001_CG1_A4,#N/A,A4,0.385381815,0.409607321,0.29497626,0.024225506,0.029116834,5.910980833,0,0,0,0.546299205,7.555321117,0.651810219,0.008158604
151108-001_CG2_A2.,#N/A,A2.,0.338559875,0.382470791,0.280253495,0.043910915,0.029309073,8.200035496,0,0,0,0.651339406,8.656983656,0.691230356,0.032652064
151108-001_CG2_A3.,#N/A,A3.,0.354296561,0.392045117,0.31234807,0.037748556,0.025199719,6.982816645,0,0,0,0.603221134,7.112606172,0.976907631,0.06124498
151108-001_CG2_A4.,#N/A,A4.,0.348908393,0.403058443,0.255440167,0.05415005,0.041421455,8.059030648,0,0,0,0.936858521,11.87172778,0.408084697,0.084696824
151219-001_BaramatiX_A10,#N/A,A10,0.438553483,0.685069754,0.280486329,0.246516271,0.081310571,5.346197619,19,2,0,3.214076321,18.54062836,0.164613941,0
151219-001_BaramatiX_A3,#N/A,A3,0.473537666,0.656400191,0.372879374,0.182862525,0.064659189,6.801010422,16,5,0,3.106455038,13.6544975,0,0.724273206
151219-001_BaramatiX_A8,#N/A,A8,0.41223871,0.672196112,0.300918893,0.259957402,0.098220747,5.159038442,10,1,0,2.478945884,23.82618232,0.217186055,0
151220-000_Baramati10,#N/A,,0.39888578,0.435716981,0.34187563,0.036831201,0.034046557,5.14203393,0,0,0,1.268145065,8.535415,0.532948679,0
151220-002_Baramati15_A1,#N/A,A1,0.403718685,0.451002841,0.343057852,0.047284156,0.034467178,7.485047714,1,0,0,0.712705002,8.5374246,2.219689119,0
151220-002_Baramati15_A2,#N/A,A2,0.465827137,0.497264979,0.351869688,0.031437842,0.033542824,6.192863929,2,0,0,0.970505397,7.200701928,1.131463057,1
151220-002_Baramati16_A1,#N/A,A1,0.409891717,0.492638765,0.33823888,0.082747048,0.039377405,8.624438952,1,0,0,1.11736231,9.606782399,0.772695775,1
151220-002_Baramati16_A2,#N/A,A2,0.416051735,0.562083099,0.306674764,0.146031365,0.054275306,7.333553063,4,1,0,1.711908332,13.0453262,0.647297967,1
151220-002_Baramati4_b1,#N/A,b1,0.353704475,0.414285714,0.291244258,0.06058124,0.023317778,6.801995161,2,2,0,1.15534925,6.592446313,0,1
151220-002_Baramati4_b2,#N/A,b2,0.402611757,0.451843971,0.331141847,0.049232214,0.036448593,7.695012033,0,0,0,0.696449113,9.053037353,0.506506507,0
151220-002_Baramati7_chorus,#N/A,chorus,0.406137392,0.45484816,0.309754371,0.048710768,0.037638873,7.953465961,1,0,0,1.403305809,9.267522087,0.582931865,0
160203-000_Nanaj2_A1,#N/A,A1,0.293623207,0.310894652,0.276468411,0.017271445,0.006995731,5.895760541,0,0,0,0.833345426,2.382553993,0.551598318,0.012215436
160203-000_Nanaj3_A4,#N/A,A4,0.461286309,0.515599743,0.386801746,0.054313434,0.031585039,7.526775657,1,0,0,0.673341714,6.847166021,0.25534188,1
160203-000_Nanaj4_A6_Chorus1,#N/A,A6,0.386432654,0.472091595,0.255309511,0.085658941,0.055112419,6.445078442,6,1,0,2.918163065,14.26184318,0.18008658,0
160203-001_Gangewadi2_A1,#N/A,A1,0.420143708,0.482256286,0.380479583,0.062112578,0.020375252,5.087393953,0,0,0,0.58147988,4.849591175,1,0
160428-000_NUmred1_A2,#N/A,A2,0.392663948,0.434133987,0.365992563,0.041470039,0.021276598,6.998087268,0,0,0,0.998643415,5.418525877,0.654874088,0.257562981
160428-000_NUmred1_A3,#N/A,A3,0.395896107,0.412284668,0.364863378,0.016388561,0.012441759,5.938361129,0,0,0,0.942408632,3.142682824,0.586494926,0.011111111
160428-002_Numred1_A1,#N/A,A1,0.300402192,0.31683231,0.274340715,0.016430117,0.008341509,5.9260329,0,0,0,0.971997564,2.776780214,0.2578125,0.046006944
160428-002_Numred1_A4,#N/A,A4,0.401387977,0.425601518,0.358147583,0.024213541,0.017054191,5.05051194,0,0,0,0.893670194,4.248804714,0.143042913,1
160428-002_Numred1_A6,#N/A,A6,1.201589967,1.319618061,0.871660377,0.118028094,0.097028251,5.06259876,8,0,0,0.908726884,8.074988448,0.650669445,1
160526-000_pench1_A1,#N/A,A1,0.424239145,0.458196188,0.38322453,0.033957043,0.022845723,8.561827115,0,0,0,0.569908142,5.385104926,0.260982231,0.918065153
160526-000_pench1_A3,#N/A,A3,0.424455099,0.482843849,0.346470163,0.05838875,0.033589573,5.653639961,0,0,0,1.081193588,7.913575012,0.197682634,0
