"minute","mean_depth","n_click"
0,42.868235618194,0
1,171.562706333333,38
2,290.697452333333,27
3,396.662331666667,0
4,493.762970666667,78
5,583.685596666667,99
6,646.401065,92
7,689.668382,96
8,753.831516333333,100
9,812.937929666667,105
10,877.805820333333,103
11,873.82692,104
12,851.883869,96
13,820.555190333333,108
14,797.643741,99
15,825.159024666667,85
16,859.385685666667,88
17,828.29085,90
18,858.586743,97
19,864.445333333333,101
20,846.329204,93
21,839.478424333333,82
22,822.19914,125
23,819.860401,100
24,792.119791666667,115
25,786.043933333333,99
26,797.244900666667,102
27,840.42451,95
28,860.512937333333,73
29,843.860738,95
30,823.713912,89
31,817.450371333333,93
32,847.609413666667,58
33,855.223024333333,105
34,842.622524,96
35,817.360280333333,89
36,808.161201333333,101
37,789.480383333333,105
38,733.266242666667,117
39,650.226773,72
40,557.632926666667,0
41,457.59329,0
42,360.131941,0
43,259.804110333333,10
44,177.806252666667,41
45,101.838946866667,14
46,25.1242549878,20
47,0.337509025333333,0
48,0.422738170333333,0
49,0.390197826,0
50,0.320770117,0
51,0.250326435,0
52,0.179333914833333,0
53,0.10738324686,0
54,0.0556472192213333,0
55,4.891142952969,0
56,81.5006286,19
57,183.733286333333,13
58,282.736764333333,0
59,366.040198333333,0
60,441.267085333333,25
61,518.61742,96
62,585.406026,127
63,637.935544666667,118
64,669.227651666667,124
65,690.275511333333,115
66,706.981448,122
67,745.681959333333,121
68,809.750797,88
69,813.770679666667,100
70,813.902206666667,91
71,795.902901333333,96
72,793.320087,89
73,839.991027333333,91
74,851.772909666667,93
75,834.491614333333,95
76,832.606621,104
77,848.299166666667,100
78,848.592446666667,86
79,832.180820333333,97
80,824.508229333333,96
81,800.938877,82
82,831.648918666667,88
83,821.274598333333,99
84,841.788692666667,90
85,849.551090666667,103
86,882.616166666667,72
87,889.998427333333,75
88,847.140015666667,95
89,842.508443666667,102
90,831.453215333333,53
91,814.902751666667,99
92,803.106632333333,106
93,772.011041666667,85
94,758.055292333333,108
95,780.530905333333,80
96,797.197103333333,98
97,750.537539,117
98,649.128951666667,34
99,533.369379333333,0
100,415.539223333333,0
101,297.122249333333,0
102,183.687094666667,0
103,85.4508887666667,0
104,13.7508725002967,0
105,0.216883665766667,0
106,0.284145752666667,0
107,0.263199863,0
108,0.1959479199,0
109,0.134676379666667,0
110,0.07922833539,0
111,0.0161717681470667,0
112,0.5304260055722,0
113,63.1511528366667,0
114,177.359637666667,0
115,284.434185666667,0
116,380.887492,3
117,476.381130666667,67
118,562.160844333333,72
119,625.489904666667,78
120,665.028279,75
121,694.368538,80
122,714.726397666667,89
123,740.279481333333,83
124,797.117664333333,84
125,832.073901,83
126,853.699781333333,83
127,889.156255333333,100
128,952.983770333333,64
129,986.474982666667,78
130,966.040716333333,89
131,927.271113666667,101
132,940.302200666667,75
133,981.394017666667,82
134,946.52274,89
135,925.821178666667,88
136,894.975057666667,84
137,888.072193333333,83
138,897.175430333333,81
139,900.082728666667,96
140,906.413465,90
141,914.753047,88
142,911.072098,94
143,925.538064333333,70
144,927.245161333333,86
145,912.137288666667,102
146,900.238537666667,96
147,890.384870333333,84
148,920.279699333333,73
149,929.221125,100
150,898.242917333333,96
151,891.685087666667,65
152,878.557628333333,81
153,879.415015666667,87
154,964.935780666667,69
155,1023.29396333333,77
156,1047.68394333333,68
157,1050.49297,68
158,997.366280666667,70
159,908.471630666667,95
160,801.238723666667,51
161,702.175932,0
162,584.383830666667,0
163,461.759249333333,0
164,338.545424333333,0
165,218.138673333333,0
166,108.130237933333,0
167,24.108268900594,0
168,0.141136890483333,0
169,0.245209312,0
170,0.243780417,0
171,0.192113441933333,0
172,0.126355969933333,0
173,0.0697994264856667,0
174,0.00153789772866667,0
175,-0.0538107403871333,0
176,10.7969829618967,0
177,108.425854566667,0
178,225.400888333333,0
179,336.344703,5
180,439.703329333333,66
181,529.455607666667,67
182,596.950970333333,74
183,641.771614666667,85
184,679.681138666667,66
185,744.03458,84
186,823.034706333333,121
187,915.032334333333,98
188,1010.81640433333,107
189,1033.89424,91
190,993.139624,99
191,944.481118333333,94
192,905.047645,74
193,910.871749666667,79
194,939.484921,87
195,959.938033333333,91
196,958.171395333333,80
197,916.047697,96
198,863.300497333333,83
199,854.11329,83
200,870.978354666667,92
201,861.242106,98
202,855.123366666667,88
203,869.97657,73
204,886.382935666667,96
205,901.898005333333,110
206,933.901298333333,77
207,928.189885333333,104
208,926.493506666667,92
209,926.488233,96
210,869.692942333333,94
211,834.916848666667,73
212,839.406601,52
213,803.120380333333,101
214,789.153744,96
215,788.217178666667,91
216,829.600220333333,91
217,834.663987,99
218,833.432632666667,91
219,839.935269666667,75
220,796.57687,99
221,710.415436333333,0
222,601.362463,0
223,490.897685666667,0
224,379.929521,0
225,271.210989,0
226,173.376496666667,0
227,92.3729643666667,20
228,15.9737290544637,15
229,0.149903770679667,0
230,0.222015116333333,0
231,0.1933125616,0
232,0.137643018743333,0
233,0.0817238519976667,0
234,0.0266144170686667,0
235,-0.0447485356693667,0
236,-0.0889261810283333,0
237,5.15671739618,0
238,83.8343496666667,24
239,184.730140333333,42
240,285.388494,25
241,369.507765333333,17
242,462.946827666667,46
243,544.059210333333,68
244,629.076679,83
245,718.130319333333,97
246,757.390444,97
247,790.199214,91
248,778.33819,96
249,753.975693666667,111
250,733.928172333333,92
251,756.978151666667,101
252,783.567293333333,99
253,792.972401333333,87
254,821.775806666667,81
255,840.714938333333,99
256,831.353546,88
257,835.260428,83
258,865.513368333333,90
259,870.744756,84
260,887.696224666667,93
261,930.815358666667,94
262,911.31986,84
263,873.035572333333,84
264,832.953084666667,94
265,843.745013333333,91
266,860.185441333333,97
267,816.715581,94
268,760.706009333333,56
269,826.633807333333,66
270,872.333729,106
271,884.367347333333,74
272,888.241969666667,57
273,866.226162,77
274,851.224233,81
275,848.339823333333,88
276,814.510630666667,85
277,844.705362666667,85
278,838.696970666667,96
279,850.796994666667,82
280,882.534293,101
281,870.836326,82
282,815.939082333333,89
283,798.477977666667,86
284,747.690159333333,80
285,648.465726,0
286,532.571675333333,0
287,408.973042,0
288,286.388983333333,0
289,169.359455,0
290,76.4197416333333,0
291,10.2256410758493,0
292,0.0646081038341667,0
293,0.141358051306667,0
294,0.123553406873333,0
295,0.0956449577921,0
296,0.0484143096716667,0
297,0.007813183029,0
298,-0.027054732505,0
299,-0.06171190695,0
300,16.8272629095167,0
301,116.650631133333,0
302,219.467331666667,0
303,317.082565,0
304,413.661972333333,74
305,496.718283333333,77
306,555.089231,90
307,594.283121333333,93
308,617.818662,91
309,654.564158333333,99
310,733.778225,83
311,815.001252333333,80
312,886.704448666667,78
313,900.307129333333,77
314,878.031198,72
315,872.303418666667,77
316,896.177352666667,81
317,974.939511333333,75
318,1029.82107666667,79
319,1116.60888666667,76
320,1166.20081333333,74
321,1102.26502666667,67
322,1039.53051833333,59
323,945.906446,81
324,903.375257666667,65
325,898.830847,77
326,920.070073333333,72
327,966.204868,81
328,989.431821333333,80
329,971.496761,89
330,922.902595333333,87
331,904.346794666667,76
332,923.942816,71
333,951.381919,80
334,951.956774333333,85
335,963.373667333333,75
336,956.232993666667,77
337,927.969091,79
338,867.892147333333,100
339,800.757558,71
340,767.215494,101
341,736.568928666667,62
342,690.699688666667,91
343,628.916380333333,28
344,523.140675333333,0
345,408.583756,0
346,291.540797,0
347,179.163370666667,0
348,86.8014705,0
349,16.15241564022,0
350,0.0346459152,0
351,0.114284111774667,0
352,0.111849775942333,0
353,0.0662435270186667,0
354,0.00810383225720667,0
355,-0.0112358325393333,0
356,-0.0636898825033333,0
357,-0.064131748941,0
358,-0.0773920587713333,0
359,10.951633060755,0
360,102.455659733333,0
361,209.170026333333,0
362,309.945718666667,9
363,405.474435333333,72
364,486.755369333333,82
365,545.748431,79
366,589.565747333333,88
367,635.704885333333,84
368,691.388696333333,83
369,743.516295,73
370,761.975261333333,87
371,778.559623,78
372,779.040954,81
373,782.009132333333,93
374,782.923548666667,80
375,810.42823,75
376,857.470912,75
377,857.109973333333,78
378,840.151105,86
379,828.646597333333,79
380,823.933162666667,87
381,822.804383666667,84
382,823.640739666667,79
383,829.011752333333,78
384,858.297916,65
385,904.748840333333,81
386,946.55046,83
387,919.000634333333,95
388,874.645308666667,81
389,837.932885,84
390,824.885825333333,70
391,812.424496333333,82
392,814.870214333333,74
393,841.155648666667,85
394,866.698237,88
395,851.636072666667,93
396,834.540551666667,86
397,821.439450666667,83
398,800.081255666667,83
399,835.683414666667,85
400,881.343159333333,75
401,876.448400333333,84
402,826.768545333333,85
403,779.716939,81
404,772.888314666667,92
405,755.022252333333,31
406,657.095543333333,0
407,542.761762333333,0
408,424.802845666667,0
409,305.765163,4
410,204.380399333333,24
411,103.4550751,15
412,28.2999920783667,32
413,-0.0684809709443333,2
414,0.0376418277736667,0
415,0.035153033199,0
416,0.00854207000216667,0
417,-0.0324513242066667,0
418,-0.068126480349,0
419,-0.109032456254333,0
420,3.77891179998667,0
421,67.2426038333333,24
422,156.816903666667,27
423,264.788698333333,73
424,363.613851,72
425,456.939924333333,88
426,559.898896666667,105
427,648.827680333333,85
428,696.972104333333,86
429,730.819121333333,80
430,750.151668,78
431,807.077353333333,90
432,861.544726333333,74
433,850.434774333333,77
434,811.524201666667,83
435,777.302751666667,88
436,761.005914666667,75
437,788.900828333333,85
438,804.254509333333,76
439,850.804181,82
440,909.557241333333,76
441,923.283714,71
442,865.008790333333,86
443,854.530194,74
444,926.885402,70
445,923.678014333333,90
446,900.325265,88
447,917.710747666667,69
448,941.284946,65
449,948.135822333333,71
450,892.625813333333,53
451,811.286343,70
452,761.950947333333,95
453,712.885279,48
454,678.960284333333,106
455,660.691140333333,45
456,588.669351666667,0
457,489.870420666667,0
458,388.958599666667,0
459,286.418327,0
460,187.290363666667,0
461,102.5479708,0
462,29.3719586181333,3
463,-0.0793321612883333,1
464,0.013207097321,0
465,0.0133398000856667,0
466,-0.0145996820071,0
467,-0.0376249245416667,0
468,-0.0794994025513333,0
469,-0.0880132365366667,0
470,38.228212525199,0
471,148.644103633333,64
472,249.972669333333,28
473,340.676079,84
474,416.012445,88
475,484.078018666667,92
476,534.430547,96
477,568.638237333333,88
478,617.729934333333,92
479,664.094134666667,46
480,691.117453,79
481,775.974386333333,70
482,834.953449666667,78
483,844.474553333333,89
484,858.233537333333,79
485,885.591495666667,80
486,905.787559666667,89
487,901.332018333333,84
488,917.068749666667,72
489,954.908079,79
490,958.739945,87
