"id","pet_name","latin_name","city","colour","participant_age","participant_gender","participant_siblings","head_height","head_lateral","head_front","snout_length","snout_height","snout_width","ear_length","nose_width","nose_height","eye_diameter","head_body_length","chest_length","chest_height","front_leg_length","hind_leg_length","manipulate","fur_thickness","fur_sofness","touch","smell","smiling","posture","stranger_comfort","owner_comfort"
"735","pupuce","Nunursus pupucurs","besancon","7",9,"2",1,12.14,12.94,8.42,2.93,5.78,6.12,3.28,1.77,1.08,1.21,24.82,10.22,11.65,9.72,11.54,5,2,6,5,5,"0","2",1,1
"737","minoucha","Nunursus bratendus","besancon","7",7,"2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,4,4,5,"0","2",NA,0.625
"738","doudou","Nunursus doudus","besancon","8",9,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,5,"1","6",NA,0.25
"740","bebe oscar","Nunursus infant oscarus","besancon","9",8,"2",0,13.88,14.21,7.38,3.23,4.82,5.21,1.79,1.94,1.12,1.57,29.36,10.31,13.44,9.8,16.56,5,3,6,5,1,"1","2",NA,0.625
"741","nonnon","Nunursus gladius","besancon","8",5,"1",1,10.66,12.09,10.74,2.38,5.14,5.38,2.13,1,1.28,0.89,24.54,7.73,9.08,9.42,10.72,4,2,5,5,3,"0","2",0.5,NA
"742","Nounours","Nunursus trudius","besancon","15",11,"2",2,10.89,10.68,9.76,4.22,4.53,4.77,3.63,2.21,1.74,1.24,23.51,7.63,6.39,7.29,8.25,5,2,3,5,5,"0","2",0.6875,1
"743","timotey","Nunursus pyjamus","besancon","8",41,"1",3,9.34,9.76,9.48,2.3,3.74,4.88,2.08,1.66,1.08,1.34,19.77,9.37,7.07,0,10.71,4,2,2,1,5,"0","2",0.375,1
"744","Poupey","Nunursus poilus","besancon","8",11,"2",2,11.26,13.19,9.64,3.72,5.2,8.2,2.72,1.32,1.15,0.88,22.54,8.98,10.78,6.32,7.37,2,3,3,3,1,"1","1",0.125,NA
"745","Flocon","Nunursus antarticus","besancon","7",10,"2",2,12.19,14.42,9.62,4.62,5.8,7.83,1.29,2.52,1.46,0.37,34.52,16.84,17.93,12.27,15.33,5,5,6,5,4,"1","3",0.833333333333333,0.75
"746","Luigi","Nunursus lucius","besancon","7",10,"1",2,15.75,20.22,13.14,7.01,6.86,7.65,5.32,1.41,1.24,1.6,37.99,13.92,16.71,12.46,18.14,4,4,4,4,3,"1","1",0.75,0.5
"748","ours brun","Nunursus brunus","besancon","10",4,"1",1,23.61,26.62,22.53,4.57,9.21,11.61,6.45,2.55,1.47,2.28,48.47,15.5,19.42,15.65,25.45,3,3,3,3,1,"1","2",0.625,NA
"749","Teddy Bear","Nunursus anglicus","besancon","8",7,"2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,3,2,"0","2",NA,0.5
"750","Trop chou","Nunursus cucubirtus","besancon","7",6,"1",2,13.9,16.55,12.7,4.87,5.61,9.64,1.55,5.02,3.33,1.33,28.99,12.68,17.37,13.04,9.37,5,2,7,5,4,"1","1",0.875,NA
"751","Flocon de Neige","Nunursus nivanurs","besancon","7",10,"1",0,14.71,14.88,6.94,2.19,5.11,7.54,1.77,2.17,1.84,1.1,29.21,10.31,15.2,11.17,9.29,2,3,4,3,4,"0","2",0.625,NA
"754","Musique","Nunursus musica","besancon","7",9,"1",3,5.35,6.91,4.41,1.38,3.19,3.47,0.74,0.76,0.88,0.28,17.67,6.96,9.86,8.96,0.21,4,1,4,4,2,"1","7",0.375,0.875
"755","lavande","Nunursus violetus","besancon","1",9,"1",4,6.07,6.87,4.06,1.17,3.34,3.75,1.49,1.01,0.66,0.9,12.82,7.27,7.01,4.04,6.15,4,3,4,4,2,"0","2",0.625,NA
"757","rondoudou","Nunursus ronus","besancon","5",8,"2",1,6.54,6.74,3.41,2.38,3.34,4.28,1.3,1.93,1.2,0.63,21.88,8.01,5.22,6.02,2.04,5,1,7,5,5,"1","7",0.75,0.875
"759","Rounounours","Nunursus rununurs","besancon","8",9,"2",1,14,12.24,10.39,3.18,9.43,8.92,2,3.59,2.41,0.47,33.52,8.92,11.27,15.12,22.92,5,1,6,5,5,"1","2",0.8125,1
"760","tatou","Nunursus toutus","besancon","2",12,"1",1,8.32,9.33,5.97,1.33,2.72,4.12,2.11,1.3,0.83,0.98,16.42,8.17,4.24,9.3,12.81,5,2,6,5,3,"-1","2",0.5,1
"761","Ours rose","Nunursus rosa","besancon","9",7,"1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,6,5,5,"0","4",NA,0.875
"762","nueve","Nunursus ourus","besancon","8",12,"1",1,8.96,10.61,8.68,2.12,3.41,4.21,1.8,1.49,1.21,0.78,16.1,8.58,8.06,4.39,4.68,2,3,3,3,1,"0","2",0.375,NA
"768","nounouche","Nunursus oursus peluchus","besancon","7",5,"2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,7,5,5,"0","1",NA,0.5
"769","plume","Nunursus plumanus","besancon","2",12,"1",1,14.78,14.28,10.61,4.09,6.25,7.44,3.45,3.12,1.84,0.79,33.19,11.86,16.96,10.1,10.93,3,3,3,3,2,"1","1",0.3125,NA
"770","coeur","Nunursus coeurinus","besancon","7",8,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,5,4,"1","2",NA,0.25
"771","mimi","Nunursus mimius","besancon","7",8,"1",1,10.91,12.41,10.4,1.25,5.28,5.69,5.02,0.6,1.46,1.32,25.44,5.71,8.29,7.24,13.51,3,1,3,3,3,"1","2",0.1875,NA
"773","pauline","Nunursus chevalus","besancon","7",8,"1",1,11.4,10.98,10.69,3.85,5.5,6.23,2.91,3,2.39,0.84,28.37,11.84,14.45,12.78,10.66,5,3,4,5,5,"1","1",0.75,0.5
"774","basil","Nunursus basilicus minus","besancon","7",9,"2",0,9.57,9.7,7.15,2.57,4.01,3.48,2.62,1.25,1.28,0.35,23.28,9.41,8.82,10.05,11.33,4,2,5,5,4,"0","2",0.625,0.5
"775","lili","Nunursus lilinus","besancon","8",8,"1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,6,5,2,"1","3",NA,0.875
"776","doudou","Nunursus dudus","besancon","15",5,"1",1,12.04,14.25,6.27,4.86,7.59,8.28,2.29,3.8,2.86,1.17,28.67,10.1,11.98,11.44,16.29,5,2,6,5,5,"0","2",NA,1
"782","ours jacinthe","Nunursus ursus hyacinthum","le_mans","2",6,"2",0,7.5,8.18,6.83,3.49,3.94,4.52,1.73,1.64,1.69,0.86,15.67,7.89,8.52,3.68,3.7,5,2,6,5,1,"-1","1",0.125,NA
"783","ours telethon","Nunursus ursus teletonus","le_mans","8",48,"2",1,4.08,4.87,3.22,1.18,1.84,2.01,1.33,0.41,0.69,0.37,9.67,3.85,4.35,3.47,3.75,3,2,3,3,2,"0","1",0,NA
"788","brutus","Nunursus brutus","le_mans","8",8,"1",5,13.84,12.27,8.48,3.04,5.08,5.25,3.84,1.84,1.79,1.02,28.37,10.18,10.79,11.66,13.32,4,2,6,5,4,"1","1",NA,0.875
"789","theo","Nunursus theorumulucius","le_mans","7",8,"1",5,8.77,8.95,7.5,2.44,4.36,5.07,2.41,1.81,1.88,1.2,18.87,7.97,8.83,7.95,11.05,4,3,4,3,3,"0","2",NA,0.625
"793","Loloïd","Nunursus lolo√Ødicus","le_mans","15",11,"1",0,3.82,4.27,2.72,1.63,2.36,2.22,0.54,0.65,0.53,0.44,8.59,3.42,3.8,2.75,3.87,5,1,3,3,2,"1","2",NA,0.625
"794","Paillette","Nunursus pailletam","le_mans","8",11,"1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,6,5,2,"1","1",NA,0.75
"796","medvegenok","Nunursus ursus albus","le_mans","7",40,"1",1,9.63,10.34,10.08,0.9,3.09,5.43,2.16,0.71,1.03,0.97,21.2,7.44,10.38,11.94,9.91,4,1,6,5,4,"1","2",0.75,NA
