"Day","Activity","obs","age","subj_id"
2,0,53,11,"13442"
2,0,54,11,"13442"
2,0,55,11,"13442"
2,0,56,11,"13442"
2,0,57,11,"13442"
2,0,58,11,"13442"
2,0,59,11,"13442"
2,0,60,11,"13442"
2,0,61,11,"13442"
2,0,62,11,"13442"
2,0,63,11,"13442"
2,0,64,11,"13442"
2,0,65,11,"13442"
2,0,66,11,"13442"
2,0,67,11,"13442"
2,0,68,11,"13442"
2,0,69,11,"13442"
2,0,70,11,"13442"
2,0,71,11,"13442"
2,0,72,11,"13442"
2,0,73,11,"13442"
2,0,74,11,"13442"
2,0,75,11,"13442"
2,0,76,11,"13442"
2,0,77,11,"13442"
2,69,78,11,"13442"
2,0,79,11,"13442"
2,0,80,11,"13442"
2,0,81,11,"13442"
2,112,82,11,"13442"
2,91,83,11,"13442"
2,16,84,11,"13442"
2,219,85,11,"13442"
1,0,1,8,"15909"
1,0,2,8,"15909"
1,0,3,8,"15909"
1,0,4,8,"15909"
1,0,5,8,"15909"
1,0,6,8,"15909"
1,0,7,8,"15909"
1,0,8,8,"15909"
1,0,9,8,"15909"
1,0,10,8,"15909"
1,0,11,8,"15909"
1,0,12,8,"15909"
1,0,13,8,"15909"
1,0,14,8,"15909"
1,0,15,8,"15909"
1,0,16,8,"15909"
1,0,17,8,"15909"
1,0,18,8,"15909"
1,0,19,8,"15909"
1,0,20,8,"15909"
1,0,21,8,"15909"
1,0,22,8,"15909"
1,0,23,8,"15909"
1,0,24,8,"15909"
1,0,25,8,"15909"
1,0,26,8,"15909"
1,0,27,8,"15909"
1,0,28,8,"15909"
1,0,29,8,"15909"
1,0,30,8,"15909"
1,0,31,8,"15909"
1,0,32,8,"15909"
1,0,33,8,"15909"
1,0,34,8,"15909"
1,0,35,8,"15909"
1,0,36,8,"15909"
1,0,37,8,"15909"
1,0,38,8,"15909"
1,0,39,8,"15909"
1,0,40,8,"15909"
1,0,41,8,"15909"
1,0,42,8,"15909"
1,0,43,8,"15909"
1,0,44,8,"15909"
1,0,45,8,"15909"
1,0,46,8,"15909"
1,0,47,8,"15909"
1,0,48,8,"15909"
1,0,49,8,"15909"
1,0,50,8,"15909"
1,0,51,8,"15909"
1,0,52,8,"15909"
1,0,53,8,"15909"
1,0,54,8,"15909"
1,0,55,8,"15909"
1,0,56,8,"15909"
1,0,57,8,"15909"
1,0,58,8,"15909"
1,0,59,8,"15909"
1,0,60,8,"15909"
1,0,61,8,"15909"
1,0,62,8,"15909"
1,0,63,8,"15909"
1,0,64,8,"15909"
1,0,65,8,"15909"
1,0,66,8,"15909"
1,0,67,8,"15909"
1,0,68,8,"15909"
1,0,69,8,"15909"
1,0,70,8,"15909"
1,0,71,8,"15909"
1,0,72,8,"15909"
1,0,73,8,"15909"
1,0,74,8,"15909"
1,0,75,8,"15909"
1,0,76,8,"15909"
1,0,77,8,"15909"
1,0,78,8,"15909"
1,0,79,8,"15909"
1,0,80,8,"15909"
1,0,81,8,"15909"
1,0,82,8,"15909"
1,0,83,8,"15909"
1,0,84,8,"15909"
1,0,85,8,"15909"
1,0,86,8,"15909"
1,0,87,8,"15909"
1,0,88,8,"15909"
1,0,89,8,"15909"
1,0,90,8,"15909"
1,0,91,8,"15909"
1,0,92,8,"15909"
1,0,93,8,"15909"
1,0,94,8,"15909"
1,0,95,8,"15909"
1,0,96,8,"15909"
1,0,97,8,"15909"
1,0,98,8,"15909"
1,0,99,8,"15909"
1,0,100,8,"15909"
1,0,101,8,"15909"
1,0,102,8,"15909"
1,0,103,8,"15909"
1,0,104,8,"15909"
1,0,105,8,"15909"
1,0,106,8,"15909"
1,0,107,8,"15909"
1,0,108,8,"15909"
1,0,109,8,"15909"
1,139,110,8,"15909"
1,283,111,8,"15909"
1,267,112,8,"15909"
1,707,113,8,"15909"
1,0,114,8,"15909"
1,0,115,8,"15909"
1,0,116,8,"15909"
1,0,117,8,"15909"
1,0,118,8,"15909"
1,0,119,8,"15909"
1,0,120,8,"15909"
1,0,121,8,"15909"
1,0,122,8,"15909"
1,0,123,8,"15909"
1,0,124,8,"15909"
1,0,125,8,"15909"
1,0,126,8,"15909"
1,0,127,8,"15909"
1,0,128,8,"15909"
1,0,129,8,"15909"
1,0,130,8,"15909"
1,5,131,8,"15909"
1,0,132,8,"15909"
1,0,133,8,"15909"
1,0,134,8,"15909"
1,0,135,8,"15909"
1,0,136,8,"15909"
1,0,137,8,"15909"
1,0,138,8,"15909"
1,0,139,8,"15909"
1,0,140,8,"15909"
1,0,141,8,"15909"
1,0,142,8,"15909"
1,0,143,8,"15909"
1,0,144,8,"15909"
1,0,145,8,"15909"
1,0,146,8,"15909"
1,0,147,8,"15909"
1,0,148,8,"15909"
1,32,149,8,"15909"
2,32,1,8,"15909"
2,0,2,8,"15909"
2,0,3,8,"15909"
2,5,4,8,"15909"
2,0,5,8,"15909"
2,0,6,8,"15909"
2,27,7,8,"15909"
2,0,8,8,"15909"
2,43,9,8,"15909"
2,107,10,8,"15909"
2,75,11,8,"15909"
2,139,12,8,"15909"
2,400,13,8,"15909"
2,443,14,8,"15909"
2,165,15,8,"15909"
2,165,16,8,"15909"
2,307,17,8,"15909"
2,187,18,8,"15909"
2,0,19,8,"15909"
2,165,20,8,"15909"
2,203,21,8,"15909"
2,155,22,8,"15909"
2,117,23,8,"15909"
2,149,24,8,"15909"
2,128,25,8,"15909"
2,496,26,8,"15909"
2,149,27,8,"15909"
2,485,28,8,"15909"
2,165,29,8,"15909"
2,0,30,8,"15909"
2,0,31,8,"15909"
2,75,32,8,"15909"
2,251,33,8,"15909"
2,307,34,8,"15909"
2,179,35,8,"15909"
2,299,36,8,"15909"
2,112,37,8,"15909"
2,195,38,8,"15909"
2,0,39,8,"15909"
2,571,40,8,"15909"
2,32,41,8,"15909"
2,0,42,8,"15909"
2,48,43,8,"15909"
2,389,44,8,"15909"
2,299,45,8,"15909"
2,275,46,8,"15909"
2,0,47,8,"15909"
2,0,48,8,"15909"
2,0,49,8,"15909"
2,0,50,8,"15909"
2,0,51,8,"15909"
2,0,52,8,"15909"
2,27,53,8,"15909"
2,211,54,8,"15909"
2,219,55,8,"15909"
2,267,56,8,"15909"
2,43,57,8,"15909"
2,331,58,8,"15909"
2,496,59,8,"15909"
2,0,60,8,"15909"
2,48,61,8,"15909"
2,275,62,8,"15909"
2,389,63,8,"15909"
2,259,64,8,"15909"
2,400,65,8,"15909"
2,80,66,8,"15909"
2,21,67,8,"15909"
2,243,68,8,"15909"
2,331,69,8,"15909"
2,117,70,8,"15909"
2,211,71,8,"15909"
2,155,72,8,"15909"
2,475,73,8,"15909"
2,283,74,8,"15909"
2,0,75,8,"15909"
2,5,76,8,"15909"
2,307,77,8,"15909"
2,243,78,8,"15909"
2,235,79,8,"15909"
2,0,80,8,"15909"
2,203,81,8,"15909"
2,0,82,8,"15909"
2,139,83,8,"15909"
2,331,84,8,"15909"
2,203,85,8,"15909"
1,0,1,10,"14323"
1,143,2,10,"14323"
1,154,3,10,"14323"
1,15,4,10,"14323"
1,56,5,10,"14323"
1,87,6,10,"14323"
1,0,7,10,"14323"
1,0,8,10,"14323"
1,0,9,10,"14323"
1,0,10,10,"14323"
1,0,11,10,"14323"
1,0,12,10,"14323"
1,0,13,10,"14323"
1,0,14,10,"14323"
1,0,15,10,"14323"
1,0,16,10,"14323"
1,0,17,10,"14323"
1,0,18,10,"14323"
1,0,19,10,"14323"
1,0,20,10,"14323"
1,0,21,10,"14323"
1,0,22,10,"14323"
1,0,23,10,"14323"
1,0,24,10,"14323"
1,0,25,10,"14323"
1,0,26,10,"14323"
1,0,27,10,"14323"
1,0,28,10,"14323"
1,0,29,10,"14323"
1,0,30,10,"14323"
1,0,31,10,"14323"
1,0,32,10,"14323"
1,0,33,10,"14323"
1,0,34,10,"14323"
1,0,35,10,"14323"
1,287,36,10,"14323"
1,123,37,10,"14323"
1,548,38,10,"14323"
1,271,39,10,"14323"
1,97,40,10,"14323"
1,0,41,10,"14323"
1,0,42,10,"14323"
1,0,43,10,"14323"
1,0,44,10,"14323"
1,425,45,10,"14323"
1,31,46,10,"14323"
1,0,47,10,"14323"
1,179,48,10,"14323"
1,353,49,10,"14323"
1,0,50,10,"14323"
1,0,51,10,"14323"
1,0,52,10,"14323"
1,0,53,10,"14323"
1,0,54,10,"14323"
1,0,55,10,"14323"
1,0,56,10,"14323"
1,0,57,10,"14323"
1,0,58,10,"14323"
1,0,59,10,"14323"
1,0,60,10,"14323"
1,0,61,10,"14323"
1,0,62,10,"14323"
1,0,63,10,"14323"
1,0,64,10,"14323"
1,0,65,10,"14323"
1,0,66,10,"14323"
1,0,67,10,"14323"
1,0,68,10,"14323"
1,0,69,10,"14323"
1,0,70,10,"14323"
1,0,71,10,"14323"
1,0,72,10,"14323"
1,0,73,10,"14323"
1,0,74,10,"14323"
1,0,75,10,"14323"
1,0,76,10,"14323"
1,0,77,10,"14323"
1,0,78,10,"14323"
1,0,79,10,"14323"
1,0,80,10,"14323"
1,0,81,10,"14323"
1,41,82,10,"14323"
1,15,83,10,"14323"
1,0,84,10,"14323"
1,0,85,10,"14323"
1,0,86,10,"14323"
1,0,87,10,"14323"
1,0,88,10,"14323"
1,0,89,10,"14323"
1,0,90,10,"14323"
1,0,91,10,"14323"
1,0,92,10,"14323"
1,0,93,10,"14323"
1,5,94,10,"14323"
1,5,95,10,"14323"
1,41,96,10,"14323"
1,51,97,10,"14323"
1,10,98,10,"14323"
1,0,99,10,"14323"
1,5,100,10,"14323"
1,5,101,10,"14323"
1,41,102,10,"14323"
1,256,103,10,"14323"
1,287,104,10,"14323"
1,210,105,10,"14323"
1,113,106,10,"14323"
1,31,107,10,"14323"
1,36,108,10,"14323"
1,0,109,10,"14323"
1,0,110,10,"14323"
1,82,111,10,"14323"
1,61,112,10,"14323"
1,5,113,10,"14323"
1,41,114,10,"14323"
1,108,115,10,"14323"
1,20,116,10,"14323"
1,0,117,10,"14323"
1,287,118,10,"14323"
1,10,119,10,"14323"
1,0,120,10,"14323"
1,0,121,10,"14323"
1,0,122,10,"14323"
1,0,123,10,"14323"
1,233,124,10,"14323"
1,343,125,10,"14323"
1,279,126,10,"14323"
1,51,127,10,"14323"
1,425,128,10,"14323"
