"Surgery","Rat","logAUC","AUC"
"C",1,8.49,4865.86607325375
"C",2,8.2,3640.95030733235
"C",3,9.08,8777.96602702723
"C",4,8.07,3197.10182907735
"P",1,10.24,28001.1259262315
"P",2,7.72,2252.95958056872
"P",3,9.34,11384.4082401816
"P",4,8.5,4914.76884029913
"S",1,11.31,81633.9085016098
"S",2,12.69,324486.755761806
"S",3,11.37,86681.8674843491
"S",4,10.82,50011.0870085218
