CountYear,RoostCountStatusID,TotalCount,SpeciesID,FirstYear,RoostID
2017,Bats were present and counts were carried out,176,Pipistrellus pygmaeus,2008,97807
2017,Bats were present and counts were carried out,173,Pipistrellus pygmaeus,2008,97807
2017,Bats were present and counts were carried out,410,Rhinolophus hipposideros,1995,97914
2017,Bats were present and counts were carried out,371,Rhinolophus hipposideros,1995,97914
2017,Bats were present and counts were carried out,410,Rhinolophus hipposideros,1995,97914
2017,Bats were present and counts were carried out,0,Pipistrellus pygmaeus,2000,98097
2017,Bats were present and counts were carried out,356,Rhinolophus hipposideros,1994,98616
2017,Bats were present and counts were carried out,323,Rhinolophus hipposideros,1994,98616
2017,Bats were present and counts were carried out,136,Rhinolophus hipposideros,1995,98657
2017,Bats were present and counts were carried out,96,Rhinolophus hipposideros,1995,98657
2017,Bats were present and counts were carried out,97,Rhinolophus hipposideros,1995,98657
2017,Bats were present and counts were carried out,135,Rhinolophus hipposideros,NA,98663
2017,Bats were present and counts were carried out,45,Pipistrellus pygmaeus,2010,98755
2017,Bats were present and counts were carried out,239,Pipistrellus pygmaeus,2004,98802
2017,Bats were present and counts were carried out,148,Rhinolophus hipposideros,1993,99016
2017,Bats were present and counts were carried out,108,Rhinolophus hipposideros,NA,99612
2017,Bats were present and counts were carried out,112,Rhinolophus hipposideros,NA,99612
2017,Bats were present and counts were carried out,104,Rhinolophus hipposideros,NA,99612
2017,Bats were present and counts were carried out,155,Pipistrellus pygmaeus,2016,99729
2017,Bats were present and counts were carried out,48,Pipistrellus pygmaeus,2016,99729
2017,Bats were present and counts were carried out,120,Pipistrellus pygmaeus,2016,99729
